Date,Open,High,Low,Close
05/07/2025,13,14,11.25,12.46
05/08/2025,12.58,14.88,12.55,13.42
05/09/2025,13.48,14.87,12.27,13.3
05/10/2025,13.2,14.47,12.4,12.99
05/11/2025,13.35,13.88,12.88,13.41
05/12/2025,13.49,14.44,13,13.71
06/01/2025,13.68,17.16,13.58,15.33
06/02/2025,15.5,16.97,15.4,16.12
06/03/2025,16.2,20.95,16.02,20.08
06/04/2025,20.56,20.8,18.02,19.49
06/05/2025,19.8,21.8,15.8,18.03
06/06/2025,18.2,18.4,13.4,15.62
06/07/2025,16,17.2,13.82,16.16
06/08/2025,15.9,18.6,15.7,17.84
06/09/2025,18,18.88,16.8,18.46
06/10/2025,18.78,24.2,18.5,22.78
06/11/2025,22.8,28.47,21.4,25.32
06/12/2025,25.4,29.66,24.4,26.97
07/01/2025,27.4,34.16,27,30.16
07/02/2025,30.2,32.6,26.8,28.63
07/03/2025,29.3,31.58,23.31,28.14
07/04/2025,27,31.99,26.2,30.31
07/05/2025,30.66,36.14,29.11,33.51
07/06/2025,33.89,36.38,30.4,35.98
07/07/2025,35.98,41.04,35.02,37.93
07/08/2025,37.5,39,30.2,36.99
07/09/2025,37.4,41.75,35.3,41.36
07/10/2025,41.8,47.3,33.6,43.48
07/11/2025,44.4,50.98,40.02,46.18
07/12/2025,46.4,54,45,49.81
08/01/2025,49.99,55.56,30.24,50.54
08/02/2025,50.88,53.97,44.4,49.42
08/03/2025,48.9,48.9,24.11,33.75
08/04/2025,33.9,35.8,28.51,34.06
08/05/2025,34.3,36.88,30.03,31.13
08/06/2025,31.22,32.22,22.62,22.85
08/07/2025,22.85,30.5,20.4,25.45
08/08/2025,25,28.98,24.62,26.83
08/09/2025,26.68,29.8,21.7,24.13
08/10/2025,24.6,25,11.01,13.58
08/11/2025,14.79,17.8,11.25,12.26
08/12/2025,12.4,16.56,11.13,15.03
09/01/2025,15.28,18.34,11.48,12.24
09/02/2025,12.19,12.5,9.9,10.26
09/03/2025,10,11.24,8.16,9.98
09/04/2025,10.04,17.51,9.94,15.45
09/05/2025,15.94,28.84,14.76,25.12
09/06/2025,25.6,31.08,23,29.68
09/07/2025,29.7,33.16,24.83,31.93
09/08/2025,31.98,35.18,29,33.45
